rxdata47,,rxckp,,rxcksb,,rxdata29,,rxdata24,
,rxdata38,,rxcksbRD,,rxdata30,,rxdatasbRD,,rxdata19
rxdata46,,rxckRD,,rxdata35,,rxdata28,,rxdata23,
,rxdata39,,rxdata36,,rxdata31,,rxdata17,,rxdata20
rxdata45,,rxvldRD,,rxdata34,,rxdata27,,rxdata22,
,rxdata40,,rxdata37,,rxdataRD1,,rxdata18,,rxdata21
rxdata44,,rxvld,,rxdata33,,rxdata26,,rxdata16,
,rxdata41,,rxckn,,rxdatasb,,rxdata32,,rxdataRD0
rxdata43,,vccio,,vccio,,rxdata25,,rxdata15,
,rxdata42,,vccio,,vccio,,vccio,,rxdata0
rxdataRD2,,vccio,,vccio,,vccio,,rxdata14,
,rxtrk,,vccio,,vccio,,vccio,,rxdata1
rxdataRD3,,vccio,,vccio,,vccio,,rxdata13,
,rxdata48,,vccfwdio,,vccfwdio,,vccio,,rxdata2
rxdata63,,vccio,,vccfwdio,,vccfwdio,,rxdata12,
,rxdata49,,vccio,,vccfwdio,,vccio,,rxdata3
rxdata62,,vccio,,vccio,,vccio,,rxdata11,
,rxdata50,,vccio,,vccio,,vccio,,rxdata4
rxdata61,,vccio,,vccio,,vccio,,rxdata10,
,rxdata51,,vccio,,vccio,,vccio,,rxdata5
rxdata60,,txdata18,,txckn,,txdata42,,rxdata9,
,rxdata52,,txdata23,,txdataRD2,,txvld,,rxdata6
rxdata59,,txdata17,,txckRD,,txdata20,,rxdata8,
,rxdata53,,txdata24,,txdata32,,txdata21,,txdata48
rxdata58,,txdata16,,txdataRD1,,txdata19,,rxdata7,
,rxdata54,,txdata25,,txdata33,,txdata22,,txdata49
rxdata57,,txdata15,,txdata31,,txtrk,,txdata40,
,rxdata55,,vss,,vss,,vss,,txdata50
rxdata56,,vss,,vss,,vss,,txdata39,
,txdata7,,vss,,vss,,vss,,txdata58
txdata6,,vss,,vss,,vss,,txdata41,
,txdata8,,vss,,vss,,vss,,txdata59
txdata5,,vss,,vss,,vss,,txdata57,
,txdata9,,vss,,vss,,vss,,txdata60
txdata4,,vss,,vss,,vss,,txdata56,
,txdata10,,vss,,vss,,vss,,txdata61
txdata3,,vss,,vss,,vss,,txdata55,
,txdata11,,vss,,vss,,vss,,txdata62
txdata2,,vss,,txdata43,,txvldRD,,txdata54,
,txdata12,,txdata26,,txdata34,,txcksb,,txdata63
txdata1,,txdata46,,txdata30,,txdata38,,txdata53,
,txdata13,,txdata27,,txdata35,,txdata47,,txdataRD3
txdata0,,txckp,,txdata29,,txdata37,,txdata52,
,txdata14,,txdatasbRD,,txdatasb,,txdata44,,txcksbRD
txdataRD0,,txdata45,,txdata28,,txdata36,,txdata51,
