vss,,vss,,vccio,,vccio,,vss,
,vss,,vccio,,vccio,,vss,,vss
vss,,vss,,vccio,,vccio,,vss,
,rxcksbRD,,rxcksb,,vccio,,rxdatasb,,rxdatasbRD
txdatasbRD,,txdatasb,,vccio,,txcksb,,txcksbRD,
,rxdata50,,rxdata35,,rxdata29,,rxdata14,,rxdataRD0
rxdataRD3,,rxdata49,,rxdata34,,rxdata28,,rxdata13,
,rxdata51,,rxdata36,,rxdata30,,rxdata15,,vss
rxdata63,,vccio,,rxdata33,,vccio,,rxdata12,
,rxdata52,,vss,,rxdata31,,vss,,rxdata0
vss,,rxdata48,,rxdata32,,rxdata27,,rxdata11,
,rxdata53,,rxdata37,,rxdataRD1,,rxdata16,,rxdata1
rxdata62,,rxdata47,,rxdataRD2,,rxdata26,,rxdata10,
,rxdata54,,rxdata38,,vss,,rxdata17,,vss
rxdata61,,rxdata46,,vccio,,rxdata25,,rxdata9,
,rxdata55,,rxdata39,,rxckRD,,rxdata18,,rxdata2
vss,,rxdata45,,rxtrk,,rxdata24,,rxdata8,
,rxdata56,,vss,,rxckn,,rxdata19,,rxdata3
rxdata60,,rxdata44,,rxvld,,vss,,rxdata7,
,rxdata57,,rxdata40,,rxckp,,rxdata20,,vss
rxdata59,,rxdata43,,rxvldRD,,rxdata23,,rxdata6,
,rxdata58,,rxdata41,,vss,,rxdata21,,rxdata4
vss,,rxdata42,,vccio,,rxdata22,,rxdata5,
,vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio
vccio,,txdata21,,vccio,,txdata41,,txdata58,
,txdata5,,txdata22,,vss,,txdata42,,vss
txdata4,,txdata20,,txckp,,txdata40,,txdata57,
,txdata6,,txdata23,,txtrk,,txdata43,,txdata59
vss,,txdata19,,txckn,,vss,,txdata56,
,txdata7,,vss,,txvld,,txdata44,,txdata60
txdata3,,txdata18,,txckRD,,txdata39,,txdata55,
,txdata8,,txdata24,,txvldRD,,txdata45,,vss
txdata2,,txdata17,,vccio,,txdata38,,txdata54,
,txdata9,,txdata25,,vss,,txdata46,,txdata61
vccio,,vccio,,vccio,,vccio,,vccio,
,txdata10,,txdata26,,txdataRD2,,txdata47,,txdata62
txdata1,,txdata16,,txdataRD1,,txdata37,,txdata53,
,txdata11,,txdata27,,txdata32,,txdata48,,vss
txdata0,,vss,,txdata31,,vss,,txdata52,
,txdata12,,vss,,txdata33,,vss,,txdata63
vss,,txdata15,,txdata30,,txdata36,,txdata51,
,txdata13,,txdata28,,txdata34,,txdata49,,txdataRD3
txdataRD0,,txdata14,,txdata29,,txdata35,,txdata50,
,vccio,,vccio,,vccio,,vccio,,vccio
vccio,,vccio,,vccio,,vccio,,vccio,
